Data for Table 1. VIS/VisWeek accepted/presented papers: 1990–2016.,,,,,,,
"Data source:  P. Isenberg, F. Heimerl, S. Koch, T. Isenberg, P. Xu, C. Stolper, M. Sedlmair, J. Chen, T. M¨oller, and J. Stasko.  vispubdata.org: A Metadata Collection about IEEE Visualization (VIS) Publications. IEEE Transactions on Visualization and Computer Graphics, 23, 2017. doi: 10.1109/TVCG.2016.2615308",,,,,,,
Analyses: Data was taken from the source and converted into this format.,,,,,,,
,,,,,,,
year,Vis/SciVis,SciVis conf,InfoVis,VAST,VAST conf,TVCG @ VIS,CG&A @ VIS
2016,30,,37,33,15,23,10
2015,33,9,38,33,14,17,15
2014,34,,45,33,21,20,
2013,31,,38,32,,20,
2012,42,,44,30,,23,
2011,49,,44,26,,20,
2010,48,,35,26,,,
2009,54,,37,26,,,
2008,50,,28,21,,,
2007,56,,27,24,,,
2006,63,,24,26,,,
2005,88,,31,,,,
2004,70,,27,,,,
2003,74,,29,,,,
2002,78,,23,,,,
2001,74,,22,,,,
2000,73,,20,,,,
1999,69,,19,,,,
1998,72,,18,,,,
1997,72,,16,,,,
1996,65,,12,,,,
1995,56,,18,,,,
1994,53,,,,,,
1993,55,,,,,,
1992,53,,,,,,
1991,50,,,,,,
1990,53,,,,,,
